log_id,maintenance_date,work_description,cost,drone_id
13848,2025-10-10,Thermal camera sensor recalibration and firmware patch application.,264.63,420
13849,2023-06-20,Installed new vibration dampening mounts on the camera gimbal payload.,402.04,228
13850,2024-09-21,Swapped out ESC board on motor arm 2 after persistent overheating warnings.,772.59,586
13851,2023-12-26,Calibrated LIDAR sensor alignment and verified distance accuracy against known baseline.,172.2,142
13852,2026-01-09,Calibrated LIDAR sensor alignment and verified distance accuracy against known baseline.,573.92,392
13853,2025-12-02,Repaired cracked carbon fiber rotor arm using industrial epoxy and confirmed structural integrity.,535.16,368
13854,2023-12-12,Repaired cracked carbon fiber rotor arm using industrial epoxy and confirmed structural integrity.,760.55,320
13855,2025-09-09,Routine 100-hour service completed; replaced all four propellers and cleaned motor housings.,429.87,345
13856,2026-02-02,Repaired cracked carbon fiber rotor arm using industrial epoxy and confirmed structural integrity.,721.24,566
13857,2025-08-25,Thermal camera sensor recalibration and firmware patch application.,608.53,218
13858,2025-05-31,Thermal camera sensor recalibration and firmware patch application.,709.53,328
13859,2024-03-28,Replaced landing gear strut assembly due to hairline fracture detected during pre-flight check.,876.38,142
13860,2024-11-04,Full airframe inspection; tightened all chassis screws and replaced GPS antenna cover.,301.57,570
13861,2024-02-08,Replaced landing gear strut assembly due to hairline fracture detected during pre-flight check.,392.48,199
13862,2024-03-31,Full airframe inspection; tightened all chassis screws and replaced GPS antenna cover.,607.69,296
13863,2024-07-24,Routine 100-hour service completed; replaced all four propellers and cleaned motor housings.,844.77,108
13864,2025-12-08,Rebuilt motor 3 entirely after bearing wear caused excessive in-flight vibration.,873.55,460
13865,2024-10-07,Full airframe inspection; tightened all chassis screws and replaced GPS antenna cover.,951.68,211
13866,2025-12-21,Replaced main battery connector due to pin corrosion and tested power draw under load.,542.69,206
13867,2026-01-06,Installed new vibration dampening mounts on the camera gimbal payload.,725.89,518
13868,2025-09-25,Preventive maintenance on folding mechanisms; lubricated hinges and checked locking pins.,974.35,364
13869,2025-07-05,Replaced landing gear strut assembly due to hairline fracture detected during pre-flight check.,848.86,480
13870,2024-06-13,Rebuilt motor 3 entirely after bearing wear caused excessive in-flight vibration.,324.74,528
13871,2025-09-27,Swapped out faulty telemetry transmitter module; signal latency now within normal parameters.,262.35,257
13872,2024-09-22,Cleaned and tested obstacle avoidance proximity sensors; restored optimal range detection.,393.37,402
13873,2024-10-27,Replaced main battery connector due to pin corrosion and tested power draw under load.,505.47,541
13874,2025-10-04,Calibrated LIDAR sensor alignment and verified distance accuracy against known baseline.,453.13,195
13875,2025-12-07,Updated flight controller firmware to version 4.2.1 and recalibrated IMU sensors.,365.46,165
13876,2025-09-22,Rebuilt motor 3 entirely after bearing wear caused excessive in-flight vibration.,235.49,327
13877,2025-04-18,Thermal camera sensor recalibration and firmware patch application.,242.61,218
13878,2025-10-31,Diagnostic run completed after hard landing; no internal structural damage found; replaced landing skids.,718.25,195
13879,2026-02-10,Diagnostic run completed after hard landing; no internal structural damage found; replaced landing skids.,426.68,150
13880,2026-01-22,Thermal camera sensor recalibration and firmware patch application.,314.05,363
13881,2025-07-12,Full airframe inspection; tightened all chassis screws and replaced GPS antenna cover.,290.22,257
13882,2025-06-23,Swapped out ESC board on motor arm 2 after persistent overheating warnings.,774.7,388
13883,2024-06-25,Routine 100-hour service completed; replaced all four propellers and cleaned motor housings.,853.31,597
13884,2024-03-11,Replaced main battery connector due to pin corrosion and tested power draw under load.,339.73,163
13885,2024-10-15,Rebuilt motor 3 entirely after bearing wear caused excessive in-flight vibration.,210.21,248
13886,2025-12-04,Replaced landing gear strut assembly due to hairline fracture detected during pre-flight check.,295.39,365
13887,2025-11-25,Preventive maintenance on folding mechanisms; lubricated hinges and checked locking pins.,916.16,357
13888,2024-10-04,Routine 100-hour service completed; replaced all four propellers and cleaned motor housings.,392.63,322
13889,2023-12-04,Repaired cracked carbon fiber rotor arm using industrial epoxy and confirmed structural integrity.,147.18,135
13890,2026-01-17,Cleaned and tested obstacle avoidance proximity sensors; restored optimal range detection.,971.36,505
13891,2024-12-03,Rebuilt motor 3 entirely after bearing wear caused excessive in-flight vibration.,783.26,478
13892,2025-10-18,Calibrated LIDAR sensor alignment and verified distance accuracy against known baseline.,332.55,519
13893,2023-06-30,Preventive maintenance on folding mechanisms; lubricated hinges and checked locking pins.,188.36,519
13894,2024-09-23,Diagnostic run completed after hard landing; no internal structural damage found; replaced landing skids.,656.14,411
13895,2025-07-06,Preventive maintenance on folding mechanisms; lubricated hinges and checked locking pins.,521.16,497
13896,2025-02-13,Installed new vibration dampening mounts on the camera gimbal payload.,345.77,7
13897,2024-06-23,Repaired cracked carbon fiber rotor arm using industrial epoxy and confirmed structural integrity.,960.9,322
13898,2025-10-12,Swapped out ESC board on motor arm 2 after persistent overheating warnings.,840.36,292
13899,2026-03-04,Diagnostic run completed after hard landing; no internal structural damage found; replaced landing skids.,360.09,263
13900,2025-02-15,Swapped out faulty telemetry transmitter module; signal latency now within normal parameters.,690.85,473
13901,2025-07-02,Calibrated LIDAR sensor alignment and verified distance accuracy against known baseline.,612.95,576
13902,2024-08-31,Routine 100-hour service completed; replaced all four propellers and cleaned motor housings.,237.33,167
13903,2025-07-28,Replaced main battery connector due to pin corrosion and tested power draw under load.,273.32,589
13904,2025-08-16,Installed new vibration dampening mounts on the camera gimbal payload.,501.39,367
13905,2026-04-04,Updated flight controller firmware to version 4.2.1 and recalibrated IMU sensors.,970.32,505
13906,2025-12-12,Calibrated LIDAR sensor alignment and verified distance accuracy against known baseline.,459.27,504
13907,2025-08-01,Rebuilt motor 3 entirely after bearing wear caused excessive in-flight vibration.,751.52,379
13908,2025-11-24,Preventive maintenance on folding mechanisms; lubricated hinges and checked locking pins.,502.96,481
13909,2026-04-04,Rebuilt motor 3 entirely after bearing wear caused excessive in-flight vibration.,929.48,228
13910,2025-08-11,Replaced landing gear strut assembly due to hairline fracture detected during pre-flight check.,268.66,418
13911,2025-09-23,Swapped out ESC board on motor arm 2 after persistent overheating warnings.,732.97,265
13912,2026-03-05,Installed new vibration dampening mounts on the camera gimbal payload.,151.5,385
13913,2024-12-07,Replaced main battery connector due to pin corrosion and tested power draw under load.,974.1,402
13914,2026-02-26,Swapped out ESC board on motor arm 2 after persistent overheating warnings.,673.46,145
13915,2024-08-17,Rebuilt motor 3 entirely after bearing wear caused excessive in-flight vibration.,695.01,380
13916,2023-09-27,Full airframe inspection; tightened all chassis screws and replaced GPS antenna cover.,930.92,416
13917,2025-12-20,Repaired cracked carbon fiber rotor arm using industrial epoxy and confirmed structural integrity.,852.95,303
13918,2025-11-17,Rebuilt motor 3 entirely after bearing wear caused excessive in-flight vibration.,997.39,533
13919,2024-06-02,Preventive maintenance on folding mechanisms; lubricated hinges and checked locking pins.,682.67,105
13920,2025-02-07,Updated flight controller firmware to version 4.2.1 and recalibrated IMU sensors.,360.36,493
13921,2026-02-11,Calibrated LIDAR sensor alignment and verified distance accuracy against known baseline.,188.7,588
13922,2025-05-24,Swapped out faulty telemetry transmitter module; signal latency now within normal parameters.,464.86,300
13923,2024-06-27,Updated flight controller firmware to version 4.2.1 and recalibrated IMU sensors.,229.44,258
13924,2025-11-26,Calibrated LIDAR sensor alignment and verified distance accuracy against known baseline.,932.91,228
13925,2026-02-24,Diagnostic run completed after hard landing; no internal structural damage found; replaced landing skids.,932.85,524
13926,2025-04-08,Rebuilt motor 3 entirely after bearing wear caused excessive in-flight vibration.,936.32,171
13927,2025-07-26,Cleaned and tested obstacle avoidance proximity sensors; restored optimal range detection.,772.3,238
13928,2026-01-10,Installed new vibration dampening mounts on the camera gimbal payload.,762.61,355
13929,2026-02-13,Routine 100-hour service completed; replaced all four propellers and cleaned motor housings.,907.73,361
13930,2025-07-28,Preventive maintenance on folding mechanisms; lubricated hinges and checked locking pins.,434.53,243
13931,2026-01-30,Cleaned and tested obstacle avoidance proximity sensors; restored optimal range detection.,837.63,183
13932,2024-10-11,Replaced main battery connector due to pin corrosion and tested power draw under load.,368.48,177
13933,2024-05-27,Swapped out ESC board on motor arm 2 after persistent overheating warnings.,705.3,543
13934,2025-10-13,Updated flight controller firmware to version 4.2.1 and recalibrated IMU sensors.,264.36,569
13935,2026-03-17,Routine 100-hour service completed; replaced all four propellers and cleaned motor housings.,432.75,538
13936,2026-02-18,Swapped out ESC board on motor arm 2 after persistent overheating warnings.,304.71,269
13937,2025-08-11,Preventive maintenance on folding mechanisms; lubricated hinges and checked locking pins.,855.79,127
13938,2024-09-27,Routine 100-hour service completed; replaced all four propellers and cleaned motor housings.,754.28,421
13939,2025-10-31,Replaced main battery connector due to pin corrosion and tested power draw under load.,723.55,597
13940,2024-11-14,Full airframe inspection; tightened all chassis screws and replaced GPS antenna cover.,666.04,429
13941,2025-11-13,Cleaned and tested obstacle avoidance proximity sensors; restored optimal range detection.,859.42,578
13942,2024-11-23,Replaced landing gear strut assembly due to hairline fracture detected during pre-flight check.,267.97,513
13943,2026-04-02,Rebuilt motor 3 entirely after bearing wear caused excessive in-flight vibration.,462.23,545
13944,2025-12-17,Repaired cracked carbon fiber rotor arm using industrial epoxy and confirmed structural integrity.,840.73,150
13945,2024-10-17,Cleaned and tested obstacle avoidance proximity sensors; restored optimal range detection.,831.66,332
13946,2025-11-07,Cleaned and tested obstacle avoidance proximity sensors; restored optimal range detection.,175.8,575
13947,2024-02-29,Routine 100-hour service completed; replaced all four propellers and cleaned motor housings.,806.96,202
13948,2025-12-10,Updated flight controller firmware to version 4.2.1 and recalibrated IMU sensors.,483.28,288
13949,2025-09-19,Full airframe inspection; tightened all chassis screws and replaced GPS antenna cover.,385.45,235
13950,2026-02-15,Cleaned and tested obstacle avoidance proximity sensors; restored optimal range detection.,541.24,423
13951,2025-02-23,Full airframe inspection; tightened all chassis screws and replaced GPS antenna cover.,333.56,358
13952,2025-10-25,Replaced main battery connector due to pin corrosion and tested power draw under load.,601.39,193
13953,2025-07-26,Routine 100-hour service completed; replaced all four propellers and cleaned motor housings.,843.47,427
13954,2025-02-23,Rebuilt motor 3 entirely after bearing wear caused excessive in-flight vibration.,429.67,118
13955,2024-11-16,Swapped out ESC board on motor arm 2 after persistent overheating warnings.,436.5,292
13956,2025-05-19,Repaired cracked carbon fiber rotor arm using industrial epoxy and confirmed structural integrity.,518.75,3
13957,2026-03-27,Installed new vibration dampening mounts on the camera gimbal payload.,888.12,499
13958,2025-03-11,Routine 100-hour service completed; replaced all four propellers and cleaned motor housings.,782.67,137
13959,2024-07-11,Installed new vibration dampening mounts on the camera gimbal payload.,157.01,415
13960,2024-06-09,Full airframe inspection; tightened all chassis screws and replaced GPS antenna cover.,336.83,540
13961,2026-04-01,Diagnostic run completed after hard landing; no internal structural damage found; replaced landing skids.,389.42,284
13962,2023-09-15,Rebuilt motor 3 entirely after bearing wear caused excessive in-flight vibration.,342.76,172
13963,2025-10-23,Installed new vibration dampening mounts on the camera gimbal payload.,806.84,557
13964,2025-02-03,Calibrated LIDAR sensor alignment and verified distance accuracy against known baseline.,672.17,129
13965,2025-06-04,Diagnostic run completed after hard landing; no internal structural damage found; replaced landing skids.,946.23,501
13966,2023-08-22,Thermal camera sensor recalibration and firmware patch application.,477.17,270
13967,2026-02-04,Thermal camera sensor recalibration and firmware patch application.,902.91,382
13968,2026-03-12,Replaced landing gear strut assembly due to hairline fracture detected during pre-flight check.,157.82,466
13969,2025-06-27,Cleaned and tested obstacle avoidance proximity sensors; restored optimal range detection.,289.55,473
13970,2025-04-30,Calibrated LIDAR sensor alignment and verified distance accuracy against known baseline.,287.61,592
13971,2025-11-09,Updated flight controller firmware to version 4.2.1 and recalibrated IMU sensors.,850.95,584
13972,2025-11-03,Repaired cracked carbon fiber rotor arm using industrial epoxy and confirmed structural integrity.,630.54,405
13973,2026-02-02,Cleaned and tested obstacle avoidance proximity sensors; restored optimal range detection.,326.11,6
13974,2025-03-23,Replaced landing gear strut assembly due to hairline fracture detected during pre-flight check.,260.22,403
13975,2026-02-06,Full airframe inspection; tightened all chassis screws and replaced GPS antenna cover.,919.13,564
13976,2025-02-12,Swapped out faulty telemetry transmitter module; signal latency now within normal parameters.,325.4,592
13977,2026-01-27,Repaired cracked carbon fiber rotor arm using industrial epoxy and confirmed structural integrity.,954.16,137
13978,2025-10-12,Preventive maintenance on folding mechanisms; lubricated hinges and checked locking pins.,906.1,538
13979,2026-03-30,Thermal camera sensor recalibration and firmware patch application.,705.49,247
13980,2024-04-29,Full airframe inspection; tightened all chassis screws and replaced GPS antenna cover.,962.87,198
13981,2025-09-29,Rebuilt motor 3 entirely after bearing wear caused excessive in-flight vibration.,773.84,230
13982,2024-11-12,Thermal camera sensor recalibration and firmware patch application.,393.41,121
13983,2024-11-08,Rebuilt motor 3 entirely after bearing wear caused excessive in-flight vibration.,781.53,262
13984,2025-05-31,Full airframe inspection; tightened all chassis screws and replaced GPS antenna cover.,930.08,293
13985,2024-07-05,Replaced landing gear strut assembly due to hairline fracture detected during pre-flight check.,322.36,286
13986,2025-08-25,Diagnostic run completed after hard landing; no internal structural damage found; replaced landing skids.,676.93,292
13987,2025-04-17,Replaced main battery connector due to pin corrosion and tested power draw under load.,745.79,350
13988,2025-12-18,Cleaned and tested obstacle avoidance proximity sensors; restored optimal range detection.,594.07,195
13989,2025-09-28,Thermal camera sensor recalibration and firmware patch application.,780.86,304
13990,2025-11-25,Repaired cracked carbon fiber rotor arm using industrial epoxy and confirmed structural integrity.,870.15,243
13991,2025-04-27,Repaired cracked carbon fiber rotor arm using industrial epoxy and confirmed structural integrity.,345.58,407
13992,2025-11-14,Installed new vibration dampening mounts on the camera gimbal payload.,966.18,269
13993,2025-02-12,Cleaned and tested obstacle avoidance proximity sensors; restored optimal range detection.,637.54,502
13994,2026-02-22,Full airframe inspection; tightened all chassis screws and replaced GPS antenna cover.,116.65,349
13995,2023-11-22,Swapped out ESC board on motor arm 2 after persistent overheating warnings.,946.04,320
13996,2026-01-01,Routine 100-hour service completed; replaced all four propellers and cleaned motor housings.,579.08,490
13997,2025-12-06,Preventive maintenance on folding mechanisms; lubricated hinges and checked locking pins.,443.6,278
13998,2024-07-11,Replaced landing gear strut assembly due to hairline fracture detected during pre-flight check.,102.15,203
13999,2025-01-30,Thermal camera sensor recalibration and firmware patch application.,652.31,395
14000,2026-03-01,Repaired cracked carbon fiber rotor arm using industrial epoxy and confirmed structural integrity.,437.68,437
14001,2025-03-17,Preventive maintenance on folding mechanisms; lubricated hinges and checked locking pins.,297.8,555
14002,2025-12-21,Replaced landing gear strut assembly due to hairline fracture detected during pre-flight check.,495.44,369
14003,2024-11-27,Routine 100-hour service completed; replaced all four propellers and cleaned motor housings.,300.12,557
14004,2025-06-02,Swapped out faulty telemetry transmitter module; signal latency now within normal parameters.,641.01,287
14005,2023-12-25,Updated flight controller firmware to version 4.2.1 and recalibrated IMU sensors.,406.48,289
14006,2026-03-12,Rebuilt motor 3 entirely after bearing wear caused excessive in-flight vibration.,426.8,492
14007,2025-06-26,Updated flight controller firmware to version 4.2.1 and recalibrated IMU sensors.,633.14,549
14008,2026-02-24,Preventive maintenance on folding mechanisms; lubricated hinges and checked locking pins.,130.24,505
14009,2025-04-02,Replaced main battery connector due to pin corrosion and tested power draw under load.,263.45,575
14010,2025-07-07,Updated flight controller firmware to version 4.2.1 and recalibrated IMU sensors.,882.0,143
14011,2025-05-28,Swapped out faulty telemetry transmitter module; signal latency now within normal parameters.,795.0,394
14012,2026-04-09,Swapped out faulty telemetry transmitter module; signal latency now within normal parameters.,555.06,406
14013,2026-03-08,Repaired cracked carbon fiber rotor arm using industrial epoxy and confirmed structural integrity.,722.87,437
14014,2025-04-15,Installed new vibration dampening mounts on the camera gimbal payload.,162.37,275
14015,2025-03-03,Diagnostic run completed after hard landing; no internal structural damage found; replaced landing skids.,206.36,570
14016,2025-02-20,Calibrated LIDAR sensor alignment and verified distance accuracy against known baseline.,419.22,440
14017,2024-04-29,Rebuilt motor 3 entirely after bearing wear caused excessive in-flight vibration.,577.09,293
14018,2026-02-23,Preventive maintenance on folding mechanisms; lubricated hinges and checked locking pins.,692.85,213
14019,2025-06-03,Updated flight controller firmware to version 4.2.1 and recalibrated IMU sensors.,774.3,325
14020,2026-03-15,Cleaned and tested obstacle avoidance proximity sensors; restored optimal range detection.,170.23,330
14021,2026-03-03,Replaced landing gear strut assembly due to hairline fracture detected during pre-flight check.,661.1,378
14022,2023-08-19,Swapped out faulty telemetry transmitter module; signal latency now within normal parameters.,785.77,222
14023,2025-10-28,Replaced main battery connector due to pin corrosion and tested power draw under load.,815.85,139
14024,2025-05-09,Cleaned and tested obstacle avoidance proximity sensors; restored optimal range detection.,534.92,401
14025,2025-04-14,Calibrated LIDAR sensor alignment and verified distance accuracy against known baseline.,992.54,250
14026,2026-03-14,Diagnostic run completed after hard landing; no internal structural damage found; replaced landing skids.,883.62,153
14027,2025-08-27,Swapped out ESC board on motor arm 2 after persistent overheating warnings.,369.61,202
14028,2024-09-10,Replaced landing gear strut assembly due to hairline fracture detected during pre-flight check.,965.53,9
14029,2025-08-09,Routine 100-hour service completed; replaced all four propellers and cleaned motor housings.,365.52,480
14030,2025-12-18,Swapped out faulty telemetry transmitter module; signal latency now within normal parameters.,793.67,600
14031,2025-11-03,Diagnostic run completed after hard landing; no internal structural damage found; replaced landing skids.,935.68,271
14032,2026-01-21,Installed new vibration dampening mounts on the camera gimbal payload.,604.85,563
14033,2024-04-18,Thermal camera sensor recalibration and firmware patch application.,381.09,489
14034,2026-03-24,Swapped out faulty telemetry transmitter module; signal latency now within normal parameters.,151.87,180
14035,2025-10-09,Calibrated LIDAR sensor alignment and verified distance accuracy against known baseline.,801.92,175
14036,2026-04-01,Replaced main battery connector due to pin corrosion and tested power draw under load.,155.36,535
14037,2026-03-18,Preventive maintenance on folding mechanisms; lubricated hinges and checked locking pins.,297.84,151
14038,2026-01-06,Full airframe inspection; tightened all chassis screws and replaced GPS antenna cover.,903.03,285
14039,2026-02-11,Repaired cracked carbon fiber rotor arm using industrial epoxy and confirmed structural integrity.,901.91,412
14040,2023-05-07,Preventive maintenance on folding mechanisms; lubricated hinges and checked locking pins.,334.09,381
14041,2026-02-24,Installed new vibration dampening mounts on the camera gimbal payload.,541.7,557
14042,2025-09-27,Diagnostic run completed after hard landing; no internal structural damage found; replaced landing skids.,256.61,372
14043,2026-03-11,Thermal camera sensor recalibration and firmware patch application.,109.56,240
14044,2026-01-05,Replaced landing gear strut assembly due to hairline fracture detected during pre-flight check.,286.8,391
14045,2025-06-28,Updated flight controller firmware to version 4.2.1 and recalibrated IMU sensors.,679.77,449
14046,2026-03-27,Rebuilt motor 3 entirely after bearing wear caused excessive in-flight vibration.,408.3,360
14047,2025-04-24,Installed new vibration dampening mounts on the camera gimbal payload.,522.23,230
14048,2025-01-26,Cleaned and tested obstacle avoidance proximity sensors; restored optimal range detection.,768.42,143
14049,2026-04-05,Replaced main battery connector due to pin corrosion and tested power draw under load.,440.87,329
14050,2025-03-11,Repaired cracked carbon fiber rotor arm using industrial epoxy and confirmed structural integrity.,903.82,182
14051,2026-03-09,Cleaned and tested obstacle avoidance proximity sensors; restored optimal range detection.,517.24,298
14052,2024-04-12,Preventive maintenance on folding mechanisms; lubricated hinges and checked locking pins.,818.96,386
14053,2026-04-10,Cleaned and tested obstacle avoidance proximity sensors; restored optimal range detection.,931.4,426
14054,2026-03-26,Swapped out faulty telemetry transmitter module; signal latency now within normal parameters.,824.63,596
14055,2024-02-01,Repaired cracked carbon fiber rotor arm using industrial epoxy and confirmed structural integrity.,896.65,570
14056,2023-12-23,Installed new vibration dampening mounts on the camera gimbal payload.,432.92,370
14057,2026-04-02,Installed new vibration dampening mounts on the camera gimbal payload.,329.22,531
14058,2024-05-16,Rebuilt motor 3 entirely after bearing wear caused excessive in-flight vibration.,315.67,149
14059,2026-03-31,Cleaned and tested obstacle avoidance proximity sensors; restored optimal range detection.,527.75,273
14060,2026-02-07,Full airframe inspection; tightened all chassis screws and replaced GPS antenna cover.,286.34,405
14061,2025-07-12,Repaired cracked carbon fiber rotor arm using industrial epoxy and confirmed structural integrity.,849.55,412
14062,2026-04-06,Calibrated LIDAR sensor alignment and verified distance accuracy against known baseline.,888.49,180
14063,2026-02-14,Updated flight controller firmware to version 4.2.1 and recalibrated IMU sensors.,214.09,163
14064,2023-07-14,Replaced main battery connector due to pin corrosion and tested power draw under load.,146.94,190
14065,2025-09-23,Replaced main battery connector due to pin corrosion and tested power draw under load.,362.02,395
14066,2025-03-11,Repaired cracked carbon fiber rotor arm using industrial epoxy and confirmed structural integrity.,620.57,403
14067,2025-11-29,Installed new vibration dampening mounts on the camera gimbal payload.,714.9,196
14068,2025-06-30,Calibrated LIDAR sensor alignment and verified distance accuracy against known baseline.,454.98,5
14069,2025-12-25,Swapped out faulty telemetry transmitter module; signal latency now within normal parameters.,113.23,325
14070,2026-03-31,Thermal camera sensor recalibration and firmware patch application.,597.98,531
14071,2024-01-01,Replaced main battery connector due to pin corrosion and tested power draw under load.,207.54,274
14072,2026-04-04,Replaced main battery connector due to pin corrosion and tested power draw under load.,248.98,124
14073,2025-12-28,Full airframe inspection; tightened all chassis screws and replaced GPS antenna cover.,580.77,515
14074,2026-04-02,Rebuilt motor 3 entirely after bearing wear caused excessive in-flight vibration.,436.8,450
14075,2026-04-08,Replaced main battery connector due to pin corrosion and tested power draw under load.,560.18,536
14076,2026-02-24,Routine 100-hour service completed; replaced all four propellers and cleaned motor housings.,179.95,318
14077,2025-03-04,Cleaned and tested obstacle avoidance proximity sensors; restored optimal range detection.,984.59,423
14078,2026-03-25,Replaced landing gear strut assembly due to hairline fracture detected during pre-flight check.,202.39,314
14079,2025-07-25,Swapped out ESC board on motor arm 2 after persistent overheating warnings.,219.06,481
14080,2024-08-28,Repaired cracked carbon fiber rotor arm using industrial epoxy and confirmed structural integrity.,489.0,568
14081,2026-02-05,Diagnostic run completed after hard landing; no internal structural damage found; replaced landing skids.,743.06,483
14082,2024-08-21,Installed new vibration dampening mounts on the camera gimbal payload.,594.64,427
14083,2025-09-11,Rebuilt motor 3 entirely after bearing wear caused excessive in-flight vibration.,717.32,460
14084,2026-03-27,Full airframe inspection; tightened all chassis screws and replaced GPS antenna cover.,601.01,173
14085,2026-02-18,Replaced main battery connector due to pin corrosion and tested power draw under load.,154.01,347
14086,2025-11-26,Swapped out ESC board on motor arm 2 after persistent overheating warnings.,767.54,156
14087,2024-11-27,Replaced main battery connector due to pin corrosion and tested power draw under load.,663.43,351
14088,2025-11-20,Diagnostic run completed after hard landing; no internal structural damage found; replaced landing skids.,948.98,363
14089,2025-08-09,Calibrated LIDAR sensor alignment and verified distance accuracy against known baseline.,442.03,556
14090,2025-02-10,Replaced main battery connector due to pin corrosion and tested power draw under load.,495.66,125
14091,2024-05-15,Cleaned and tested obstacle avoidance proximity sensors; restored optimal range detection.,317.97,312
14092,2025-06-21,Full airframe inspection; tightened all chassis screws and replaced GPS antenna cover.,546.3,491
14093,2024-09-09,Repaired cracked carbon fiber rotor arm using industrial epoxy and confirmed structural integrity.,308.48,595
14094,2025-12-13,Swapped out faulty telemetry transmitter module; signal latency now within normal parameters.,923.93,304
14095,2026-03-07,Replaced main battery connector due to pin corrosion and tested power draw under load.,108.72,193
14096,2025-09-24,Installed new vibration dampening mounts on the camera gimbal payload.,157.91,216
14097,2025-07-02,Routine 100-hour service completed; replaced all four propellers and cleaned motor housings.,657.9,276
14098,2024-09-16,Thermal camera sensor recalibration and firmware patch application.,918.59,238
14099,2025-11-20,Replaced main battery connector due to pin corrosion and tested power draw under load.,429.92,147
14100,2026-02-15,Replaced landing gear strut assembly due to hairline fracture detected during pre-flight check.,142.76,130
14101,2025-01-07,Calibrated LIDAR sensor alignment and verified distance accuracy against known baseline.,465.96,156
14102,2025-10-04,Repaired cracked carbon fiber rotor arm using industrial epoxy and confirmed structural integrity.,790.46,440
14103,2024-06-21,Thermal camera sensor recalibration and firmware patch application.,888.97,227
14104,2026-03-29,Thermal camera sensor recalibration and firmware patch application.,232.16,457
14105,2025-07-19,Calibrated LIDAR sensor alignment and verified distance accuracy against known baseline.,454.85,254
14106,2024-12-09,Swapped out faulty telemetry transmitter module; signal latency now within normal parameters.,800.14,260
14107,2025-12-09,Rebuilt motor 3 entirely after bearing wear caused excessive in-flight vibration.,816.94,142
14108,2026-04-09,Replaced main battery connector due to pin corrosion and tested power draw under load.,433.62,329
14109,2026-01-12,Diagnostic run completed after hard landing; no internal structural damage found; replaced landing skids.,957.99,533
14110,2025-04-17,Swapped out faulty telemetry transmitter module; signal latency now within normal parameters.,328.89,297
14111,2025-09-16,Replaced landing gear strut assembly due to hairline fracture detected during pre-flight check.,680.29,292
14112,2026-02-28,Diagnostic run completed after hard landing; no internal structural damage found; replaced landing skids.,827.53,570
14113,2024-03-19,Preventive maintenance on folding mechanisms; lubricated hinges and checked locking pins.,248.07,382
14114,2026-01-18,Routine 100-hour service completed; replaced all four propellers and cleaned motor housings.,365.1,206
14115,2025-11-29,Cleaned and tested obstacle avoidance proximity sensors; restored optimal range detection.,600.53,309
14116,2025-10-27,Routine 100-hour service completed; replaced all four propellers and cleaned motor housings.,899.87,304
14117,2025-01-21,Preventive maintenance on folding mechanisms; lubricated hinges and checked locking pins.,179.82,443
14118,2025-10-16,Rebuilt motor 3 entirely after bearing wear caused excessive in-flight vibration.,162.14,392
14119,2025-01-27,Full airframe inspection; tightened all chassis screws and replaced GPS antenna cover.,754.04,1
14120,2025-12-17,Rebuilt motor 3 entirely after bearing wear caused excessive in-flight vibration.,441.21,122
14121,2025-11-22,Routine 100-hour service completed; replaced all four propellers and cleaned motor housings.,149.61,487
14122,2026-02-02,Replaced main battery connector due to pin corrosion and tested power draw under load.,746.05,209
14123,2025-09-19,Swapped out ESC board on motor arm 2 after persistent overheating warnings.,740.55,102
14124,2025-09-20,Replaced landing gear strut assembly due to hairline fracture detected during pre-flight check.,165.16,254
14125,2024-04-05,Updated flight controller firmware to version 4.2.1 and recalibrated IMU sensors.,480.78,469
14126,2026-02-10,Replaced landing gear strut assembly due to hairline fracture detected during pre-flight check.,818.64,256
14127,2023-10-14,Swapped out ESC board on motor arm 2 after persistent overheating warnings.,995.42,163
14128,2024-05-28,Preventive maintenance on folding mechanisms; lubricated hinges and checked locking pins.,151.54,289
14129,2025-08-28,Rebuilt motor 3 entirely after bearing wear caused excessive in-flight vibration.,971.76,449
14130,2025-10-07,Calibrated LIDAR sensor alignment and verified distance accuracy against known baseline.,662.4,422
14131,2025-10-12,Preventive maintenance on folding mechanisms; lubricated hinges and checked locking pins.,403.16,336
14132,2026-04-08,Replaced landing gear strut assembly due to hairline fracture detected during pre-flight check.,456.93,300
14133,2025-09-22,Full airframe inspection; tightened all chassis screws and replaced GPS antenna cover.,607.71,203
14134,2025-08-03,Replaced landing gear strut assembly due to hairline fracture detected during pre-flight check.,255.99,105
14135,2024-09-15,Thermal camera sensor recalibration and firmware patch application.,890.76,361
14136,2026-03-26,Preventive maintenance on folding mechanisms; lubricated hinges and checked locking pins.,130.29,294
14137,2025-04-29,Calibrated LIDAR sensor alignment and verified distance accuracy against known baseline.,806.65,134
14138,2024-08-11,Routine 100-hour service completed; replaced all four propellers and cleaned motor housings.,158.63,479
14139,2024-06-17,Preventive maintenance on folding mechanisms; lubricated hinges and checked locking pins.,181.72,146
14140,2026-04-08,Preventive maintenance on folding mechanisms; lubricated hinges and checked locking pins.,762.13,531
14141,2026-02-25,Thermal camera sensor recalibration and firmware patch application.,609.44,478
14142,2025-12-03,Cleaned and tested obstacle avoidance proximity sensors; restored optimal range detection.,349.87,336
14143,2026-01-21,Updated flight controller firmware to version 4.2.1 and recalibrated IMU sensors.,697.81,170
